institution,gri_disclosure,gri_title,relationship,stars_credit,stars_field,value,units,populated
"University of California, Berkeley",3-2,List of material topics,partial,PA-2,Has the institution adopted one or more measurable sustainability objectives that address racial equity and/or social justice?,Yes,,True
"University of California, Berkeley",3-3,Management of material topics,partial,PA-2,Narrative listing the institution’s measurable sustainability objectives that address campus operations,"UC Berkeley follows the UC systemwide Sustainable Practices Policy . Section III. C. outlines the goals that all UC locations have to meet, including reducing all emissions by at least 90% by 2045 and eliminating the remaining emissions through carbon capture and storage credits (section III.C.1.). UC Berkeley's Sustainability Plan includes a section on Climate & Resiliency which outlines plans to ""accelerate a just and equitable transition to a resilient, clean energy, and zero carbon campus."" UC Berkeley has already set ambitious greenhouse gas emissions reduction targets and identified multiple strategies for achieving the target. Waste goals for UC: - Achieve zero waste by prioritizing reduce, reuse, and then recycle and compost (or other forms of organic recycling) by the following: Reduce 25% per capita from FY 2015/16 levels by 2025 - Reduce 50% per capita from FY 2015/16 levels by 2030 - Divert 90% of municipal solid waste from the landfill UC Berkeley-specific waste goals: - Eliminate all non-essential single use plastic for which there is a viable alternative by end of calendar year 2030 UC goals for food & dining: - By 2030, 25% of food spend will be on sustainable food* products while maintaining accessibility and affordability for all students Moreover, the Berkeley Clean Energy Campus initiative states the following strategies: - Reduce 90% GHG Emissions from 2019 by 2045. - Support the planning and efforts to update the main campus heating, cooling and power system to operate primarily on clean electricity by 2030. This major capital improvement can reduce campus emissions by 60-80%. - Reduce short-lived climate pollutants including black carbon and methane. - Support the phase out hydrofluorocarbons (HFCs) by 2030. - Engage in efforts to increase telework options for employees and improve campus space utilization. https://sustainability.berkeley.edu/sites/default/files/uc_berkeley_sustainability_plan_2020_1.pdf The 2020 Green Labs Action Plan identifies near-term initiatives and responsibilities as well as longer-range ideas for Green Labs. The Green Labs Program was created to improve sustainable practices within research and teaching labs on campus with the goal to incorporate the use of water reduction, waste elimination and energy saving technology, along with actions and procurement strategies for researchers, instructors, and lab spaces. Every year Green Labs will focus on manageable projects within key areas identified by the program to aid the larger theme of sustainability that accomplishes water, energy or waste reduction in campus labs. Key actions & targets for 2020-2022 are outlined in the Green Labs Action Plan. https://sustainability.berkeley.edu/sites/default/files/uc_berkeley_green_labs_action_plan_may_2020.pdf The 2019 Zero Waste Plan outlines a variety of different strategies and approaches to achieve zero waste. Cal Zero Waste has expanded and grown the current portfolio of programs. Zero Waste October includes interactive and engagement elements; Cal Zero Waste will facilitate more conversations with Capital Projects to increase collaboration. Cal Zero Waste also facilitates conversations between procurement and also Green Labs to work on zero waste in laboratories and research spaces on campus. https://facilities.berkeley.edu/sites/default/files/2019_uc_berkeley_zero_waste_plan_final.pdf The 2021 Long Range Development Plan (LRDP) describes a framework for land use and investment to meet the academic goals and objectives of the University. The companion Environmental Impact Report provides information on the environmental implications of the LRDP and includes an extended treatment of potential impacts and mitigation best practices. Goal: Plan every new project to serve as a model of resource conservation and environmental stewardship (LRDP) Key Strategies: - Implement an ongoing program of investment to restore and renew the campus park landscape; implement a program of strategic investment in new and enhanced campus open park spaces. (LRDP) - Continue to manage runoff into storm drain systems such that the aggregate effect of projects implementing the 2020 LRDP is no net increase in runoff over existing conditions. (LRDP EIR) - Continue to revise and implement the Strawberry Creek Management Plan (SCMP) to include recommendations for habitat restoration and enhancement along specific segments of the creek. (LRDP EIR) - Continue implementing an urban runoff management program as published in the Strawberry Creek Management Plan. (LRDP EIR) - Manage the natural preserves based on ecological principles, including replacing invasive exotic plants with native plants suited to this biotic zone, replacing unhealthy plants and plants at the ends of their natural lives, and preserving and enhancing the habitat value of the zone. (LRDP) https://capitalstrategies.berkeley.edu/planning-documents",,True
"University of California, Berkeley",3-3,Management of material topics,partial,PA-1,Narrative outlining the activities and substantive accomplishments of the institution-wide coordinating body or officer during the previous three years,"The UC Berkeley Office of Sustainability provides campus leadership by setting ambitious sustainability goals and strategies and by accelerating the achievement of these goals through project implementation, planning, partnerships and community engagement. Our mission is to integrate cutting-edge sustainability practices into our operations, foster the culture of sustainability at home and in the world, and enable and improve excellence in sustainability. Some recent achievements led by the Sustainability Officer: - Earned the #1 spot in the first ever QS World University Sustainability Rankings - Helped lead the development of a clean electrified campus energy system which is slated for completion by 2035 - Helped secure $249 million from the State of California for the Berkeley Clean Energy Campus project - Led the climate change resilience strategy through the CACS Working Group - Certified staff as Sustainability Staff Advisors using a new Office of Sustainability Staff Training and Certification Program Additionally, UC Berkeley's highlighted achievements can be found in UC systemwide annual sustainability reports: http://ucop.edu/sustainability/policy-areas/annual-reports.html https://cleanenergycampus.berkeley.edu/sites/default/files/irap_final_05-2024_-_aei_report_version_2.pdf",,True
"University of California, Berkeley",3-3,Management of material topics,partial,PA-2,"Has the institution made a public commitment to sustainability, as evidenced by an external commitment or a published plan?",Yes,,True
"University of California, Berkeley",202-1,Ratios of standard entry level wage by gender compared to local minimum wage,partial,PA-13,Percentage of employees that receive remuneration equivalent to at least a living wage,96.20,,True
"University of California, Berkeley",202-1,Ratios of standard entry level wage by gender compared to local minimum wage,partial,PA-13,Living wage,39.62,,True
"University of California, Berkeley",302-1,Energy consumption within the organization,equivalent,OP-5,Total annual energy consumption,"78,414.00",Megawatt-hours,True
"University of California, Berkeley",302-1,Energy consumption within the organization,component,OP-5,Total electricity consumption,"47,744.70",Megawatt-hours,True
"University of California, Berkeley",302-1,Energy consumption within the organization,component,OP-5,Total stationary fuel consumption,"30,414",Megawatt-hours,True
"University of California, Berkeley",302-1,Energy consumption within the organization,partial,OP-5,Annual renewable energy consumption,"18,173",Megawatt-hours,True
